Cluster,Point,Reading Time,Import,Export
1C,COMMON_SERVICES,2025-01-01 08:00:00+00:00,3640.0,0.0
1C,COMMON_SERVICES_DB1,2025-01-01 08:00:00+00:00,,
1C,COMMON_SERVICES_DB2,2025-01-01 08:00:00+00:00,,
2A,01,2025-01-01 08:00:00+00:00,,
2A,02,2025-01-01 08:00:00+00:00,4264.0,18618.0
2A,03,2025-01-01 08:00:00+00:00,,
2A,04,2025-01-01 08:00:00+00:00,,
2A,05,2025-01-01 08:00:00+00:00,7368.0,7727.0
2A,06,2025-01-01 08:00:00+00:00,,
2A,07,2025-01-01 08:00:00+00:00,,
2A,08,2025-01-01 08:00:00+00:00,,
2A,09,2025-01-01 08:00:00+00:00,,
2A,10,2025-01-01 08:00:00+00:00,,
2A,11,2025-01-01 08:00:00+00:00,,
2A,12,2025-01-01 08:00:00+00:00,7897.0,14259.0
2A,13,2025-01-01 08:00:00+00:00,3610.0,4288.0
2A,14,2025-01-01 08:00:00+00:00,2707.0,3860.0
2A,15,2025-01-01 08:00:00+00:00,1489.0,5304.0
2A,16,2025-01-01 08:00:00+00:00,,
2A,17,2025-01-01 08:00:00+00:00,2464.0,3363.0
2A,18,2025-01-01 08:00:00+00:00,2302.0,1434.0
2A,19,2025-01-01 08:00:00+00:00,,
2A,20,2025-01-01 08:00:00+00:00,,
2A,21,2025-01-01 08:00:00+00:00,,
2A,22,2025-01-01 08:00:00+00:00,,
2A,23,2025-01-01 08:00:00+00:00,,
2A,COMMON_BESS,2025-01-01 08:00:00+00:00,9894.16,8250.98
2A,COMMON_EV,2025-01-01 08:00:00+00:00,,
2A,COMMON_SERVICES,2025-01-01 08:00:00+00:00,6652.4800000000005,0.0
2A,COMMON_SERVICES_DB1,2025-01-01 08:00:00+00:00,,
2A,COMMON_SERVICES_DB2,2025-01-01 08:00:00+00:00,,
2B,01,2025-01-01 08:00:00+00:00,1514.0,6399.0
2B,02,2025-01-01 08:00:00+00:00,,
2B,03,2025-01-01 08:00:00+00:00,2589.0,7121.0
2B,04,2025-01-01 08:00:00+00:00,,
2B,05,2025-01-01 08:00:00+00:00,4349.0,23460.0
2B,06,2025-01-01 08:00:00+00:00,3459.0,7334.0
2B,07,2025-01-01 08:00:00+00:00,3918.0,20650.0
2B,08,2025-01-01 08:00:00+00:00,5371.0,4648.0
2B,09,2025-01-01 08:00:00+00:00,6458.0,12198.0
2B,10,2025-01-01 08:00:00+00:00,4996.0,8926.0
2B,11,2025-01-01 08:00:00+00:00,,
2B,12,2025-01-01 08:00:00+00:00,,
2B,13,2025-01-01 08:00:00+00:00,,
2B,14,2025-01-01 08:00:00+00:00,,
2B,15,2025-01-01 08:00:00+00:00,1377.0,3533.0
2B,16,2025-01-01 08:00:00+00:00,2534.0,20684.0
2B,17,2025-01-01 08:00:00+00:00,2797.0,2335.0
2B,18,2025-01-01 08:00:00+00:00,,
2B,19,2025-01-01 08:00:00+00:00,,
2B,20,2025-01-01 08:00:00+00:00,,
2B,21,2025-01-01 08:00:00+00:00,8483.0,21950.0
2B,22,2025-01-01 08:00:00+00:00,,
2B,COMMON_BESS,2025-01-01 08:00:00+00:00,9052.59,7423.63
2B,COMMON_EV,2025-01-01 08:00:00+00:00,,
2B,COMMON_SERVICES,2025-01-01 08:00:00+00:00,,
2B,COMMON_SERVICES_DB1,2025-01-01 08:00:00+00:00,,
2B,COMMON_SERVICES_DB2,2025-01-01 08:00:00+00:00,,
3A,01,2025-01-01 08:00:00+00:00,,
3A,02,2025-01-01 08:00:00+00:00,,
3A,03,2025-01-01 08:00:00+00:00,,
3A,04,2025-01-01 08:00:00+00:00,3040.0,9443.0
3A,05,2025-01-01 08:00:00+00:00,,
3A,06,2025-01-01 08:00:00+00:00,,
3A,07,2025-01-01 08:00:00+00:00,3790.0,11899.0
3A,08,2025-01-01 08:00:00+00:00,,
3A,09,2025-01-01 08:00:00+00:00,,
3A,10,2025-01-01 08:00:00+00:00,,
3A,11,2025-01-01 08:00:00+00:00,,
3A,12,2025-01-01 08:00:00+00:00,,
3A,13,2025-01-01 08:00:00+00:00,,
3A,14,2025-01-01 08:00:00+00:00,,
3A,15,2025-01-01 08:00:00+00:00,,
3A,16,2025-01-01 08:00:00+00:00,,
3A,17,2025-01-01 08:00:00+00:00,,
3A,18,2025-01-01 08:00:00+00:00,,
3A,19,2024-12-27 04:09:00+00:00,2170.0,8595.0
3A,20,2025-01-01 08:00:00+00:00,,
3A,21,2025-01-01 08:00:00+00:00,,
3A,22,2025-01-01 08:00:00+00:00,1768.0,4682.0
3A,23,2025-01-01 08:00:00+00:00,,
3A,24,2025-01-01 08:00:00+00:00,3551.0,11400.0
3A,25,2025-01-01 08:00:00+00:00,3560.0,7439.0
3A,26,2025-01-01 08:00:00+00:00,,
3A,27,2025-01-01 08:00:00+00:00,,
3A,COMMON_BESS,2025-01-01 08:00:00+00:00,2169.59,946.85
3A,COMMON_EV,2025-01-01 08:00:00+00:00,,
3A,COMMON_SERVICES,2025-01-01 08:00:00+00:00,,
3A,COMMON_SERVICES_DB1,2025-01-01 08:00:00+00:00,,
3A,COMMON_SERVICES_DB2,2025-01-01 08:00:00+00:00,,
3B,01,2025-01-01 08:00:00+00:00,,
3B,02,2025-01-01 08:00:00+00:00,,
3B,03,2025-01-01 08:00:00+00:00,,
3B,04,2025-01-01 08:00:00+00:00,,
3B,05,2025-01-01 08:00:00+00:00,,
3B,06,2025-01-01 08:00:00+00:00,,
3B,07,2025-01-01 08:00:00+00:00,2486.33,3100.2000000000003
3B,08,2025-01-01 08:00:00+00:00,3522.36,6846.45
3B,09,2025-01-01 08:00:00+00:00,,
3B,10,2025-01-01 08:00:00+00:00,,
3B,11,2025-01-01 08:00:00+00:00,,
3B,12,2025-01-01 08:00:00+00:00,,
3B,13,2025-01-01 08:00:00+00:00,,
3B,14,2025-01-01 08:00:00+00:00,,
3B,15,2025-01-01 08:00:00+00:00,,
3B,16,2025-01-01 08:00:00+00:00,,
3B,17,2025-01-01 08:00:00+00:00,,
3B,18,2025-01-01 08:00:00+00:00,,
3B,19,2025-01-01 08:00:00+00:00,,
3B,COMMON_BESS,2025-01-01 08:00:00+00:00,7642.02,5743.47
3B,COMMON_EV,2025-01-01 08:00:00+00:00,,
3B,COMMON_SERVICES,2025-01-01 08:00:00+00:00,,
3B,COMMON_SERVICES_DB1,2025-01-01 08:00:00+00:00,,
3B,COMMON_SERVICES_DB2,2025-01-01 08:00:00+00:00,,
