Cluster,Point,Reading Time,Import,Export
2B,13,2024-10-01 08:00:00+00:00,,
2B,14,2024-10-01 08:00:00+00:00,,
2B,15,2024-10-01 08:00:00+00:00,1146.0,765.0
2B,16,2024-10-01 08:00:00+00:00,2350.0,18188.0
2B,17,2024-10-01 08:00:00+00:00,2437.0,235.0
2B,18,2024-10-01 08:00:00+00:00,,
2B,19,2024-10-01 08:00:00+00:00,,
2B,20,2024-10-01 08:00:00+00:00,,
2B,21,2024-10-01 08:00:00+00:00,7943.0,16658.0
2B,22,2024-10-01 08:00:00+00:00,,
2B,COMMON_BESS,2024-10-01 08:00:00+00:00,2455.03,2008.84
2B,COMMON_EV,2024-10-01 08:00:00+00:00,18.82,0.0
2B,COMMON_SERVICES,2024-10-01 08:00:00+00:00,9733.32,0.0
2B,COMMON_SERVICES_DB1,2024-10-01 08:00:00+00:00,,
2B,COMMON_SERVICES_DB2,2024-10-01 08:00:00+00:00,,
3A,01,2024-10-01 08:00:00+00:00,,
3A,02,2024-10-01 08:00:00+00:00,,
3A,03,2024-10-01 08:00:00+00:00,,
3A,04,2024-10-01 08:00:00+00:00,2645.0,6611.0
3A,05,2024-10-01 08:00:00+00:00,,
3A,06,2024-10-01 08:00:00+00:00,,
3A,07,2024-10-01 08:00:00+00:00,2845.0,7490.0
3A,08,2024-10-01 08:00:00+00:00,,
3A,09,2024-10-01 08:00:00+00:00,,
3A,10,2024-10-01 08:00:00+00:00,,
3A,11,2024-10-01 08:00:00+00:00,,
3A,12,2024-10-01 08:00:00+00:00,,
3A,13,2024-10-01 08:00:00+00:00,,
3A,14,2024-10-01 08:00:00+00:00,,
3A,15,2024-10-01 08:00:00+00:00,,
3A,16,2024-10-01 08:00:00+00:00,,
3A,17,2024-10-01 08:00:00+00:00,,
3A,18,2024-10-01 08:00:00+00:00,,
3A,19,2024-10-01 08:00:00+00:00,1916.0,5900.0
3A,20,2024-10-01 08:00:00+00:00,,
3A,21,2024-10-01 08:00:00+00:00,,
3A,22,2024-10-01 08:00:00+00:00,1508.0,1836.0
3A,23,2024-10-01 08:00:00+00:00,,
3A,24,2024-10-01 08:00:00+00:00,3025.0,5638.0
3A,25,2024-10-01 08:00:00+00:00,3079.0,4709.0
3A,26,2024-10-01 08:00:00+00:00,,
3A,27,2024-10-01 08:00:00+00:00,,
3A,COMMON_BESS,2024-10-01 08:00:00+00:00,332.51,115.14
3A,COMMON_EV,2024-10-01 08:00:00+00:00,,
3A,COMMON_SERVICES,2024-10-01 08:00:00+00:00,,
3A,COMMON_SERVICES_DB1,2024-10-01 08:00:00+00:00,,
3A,COMMON_SERVICES_DB2,2024-10-01 08:00:00+00:00,,
3B,01,2024-10-01 08:00:00+00:00,,
3B,02,2024-10-01 08:00:00+00:00,,
3B,03,2024-10-01 08:00:00+00:00,,
3B,04,2024-10-01 08:00:00+00:00,,
3B,05,2024-10-01 08:00:00+00:00,,
3B,06,2024-10-01 08:00:00+00:00,,
3B,07,2024-10-01 08:00:00+00:00,2101.92,1839.35
3B,08,2024-10-01 08:00:00+00:00,1659.91,2288.78
3B,09,2024-10-01 08:00:00+00:00,,
3B,10,2024-10-01 08:00:00+00:00,,
3B,11,2024-10-01 08:00:00+00:00,,
3B,12,2024-10-01 08:00:00+00:00,,
3B,13,2024-10-01 08:00:00+00:00,,
3B,14,2024-10-01 08:00:00+00:00,,
3B,15,2024-10-01 08:00:00+00:00,,
3B,16,2024-10-01 08:00:00+00:00,,
3B,17,2024-10-01 08:00:00+00:00,,
3B,18,2024-10-01 08:00:00+00:00,,
3B,19,2024-10-01 08:00:00+00:00,,
3B,COMMON_BESS,2024-10-01 08:00:00+00:00,1966.92,1182.05
3B,COMMON_EV,2024-10-01 08:00:00+00:00,,
3B,COMMON_SERVICES,2024-10-01 08:00:00+00:00,,
3B,COMMON_SERVICES_DB1,2024-10-01 08:00:00+00:00,,
3B,COMMON_SERVICES_DB2,2024-10-01 08:00:00+00:00,,
