Cluster,Point,Reading Time,Import,Export
3A,25,2024-08-01 08:33:00+00:00,2496.0,3524.0
3A,26,2024-08-01 08:33:00+00:00,,
3A,27,2024-08-01 08:33:00+00:00,,
3A,COMMON_BESS,2024-08-01 08:33:00+00:00,,
3A,COMMON_EV,2024-08-01 08:33:00+00:00,,
3A,COMMON_SERVICES,2024-08-01 08:33:00+00:00,,
3A,COMMON_SERVICES_DB1,2024-08-01 08:33:00+00:00,,
3A,COMMON_SERVICES_DB2,2024-08-01 08:33:00+00:00,,
3B,01,2024-08-01 08:33:00+00:00,,
3B,02,2024-08-01 08:33:00+00:00,,
3B,03,2024-08-01 08:33:00+00:00,,
3B,04,2024-08-01 08:33:00+00:00,,
3B,05,2024-08-01 08:33:00+00:00,4353.18,1422.93
3B,06,2024-08-01 08:33:00+00:00,,
3B,07,2024-08-01 08:33:00+00:00,1712.39,1241.66
3B,08,2024-08-01 08:33:00+00:00,541.73,344.31
3B,09,2024-08-01 08:33:00+00:00,,
3B,10,2024-08-01 08:33:00+00:00,,
3B,11,2024-08-01 08:33:00+00:00,,
3B,12,2024-08-01 08:33:00+00:00,,
3B,13,2024-08-01 08:33:00+00:00,,
3B,14,2024-08-01 08:33:00+00:00,,
3B,15,2024-08-01 08:33:00+00:00,,
3B,16,2024-08-01 08:33:00+00:00,,
3B,17,2024-08-01 08:33:00+00:00,,
3B,18,2024-08-01 08:33:00+00:00,,
3B,19,2024-08-01 08:33:00+00:00,,
3B,COMMON_BESS,2024-08-01 08:33:00+00:00,,
3B,COMMON_EV,2024-08-01 08:33:00+00:00,,
3B,COMMON_SERVICES,2024-08-01 08:33:00+00:00,,
3B,COMMON_SERVICES_DB1,2024-08-01 08:33:00+00:00,,
3B,COMMON_SERVICES_DB2,2024-08-01 08:33:00+00:00,,
