Timestamp,Meter,Imported (Wh),Imported Total reading (kWh),Imported (kWh)
05/01/2024 06:00,202,14248704,14248.704,0.084
05/01/2024 06:30,202,14248764,14248.764,0.06
05/01/2024 07:00,202,14248836,14248.836,0.072
05/01/2024 07:30,202,14249012,14249.012,0.176
05/01/2024 08:00,202,14249122,14249.122,0.11
05/01/2024 08:30,202,14249491,14249.491,0.369
05/01/2024 09:00,202,14249682,14249.682,0.191
05/01/2024 09:30,202,14249734,14249.734,0.052
05/01/2024 10:00,202,14249761,14249.761,0.027
05/01/2024 10:30,202,14249812,14249.812,0.051
05/01/2024 11:00,202,14249849,14249.849,0.037
05/01/2024 11:30,202,14249919,14249.919,0.07
05/01/2024 12:00,202,14250336,14250.336,0.417
05/01/2024 12:30,202,14250387,14250.387,0.051
05/01/2024 13:00,202,14250412,14250.412,0.025
05/01/2024 13:30,202,14250521,14250.521,0.109
05/01/2024 14:00,202,14250817,14250.817,0.296
05/01/2024 14:30,202,14251126,14251.126,0.309
05/01/2024 15:00,202,14251472,14251.472,0.346
05/01/2024 15:30,202,14252342,14252.342,0.87
05/01/2024 16:00,202,14252697,14252.697,0.355
05/01/2024 16:30,202,14253316,14253.316,0.619
05/01/2024 17:00,202,14254516,14254.516,1.2
05/01/2024 17:30,202,14255464,14255.464,0.948
05/01/2024 18:00,202,14256298,14256.298,0.834
05/01/2024 18:30,202,14256982,14256.982,0.684
05/01/2024 19:00,202,14257691,14257.691,0.709
05/01/2024 19:30,202,14258388,14258.388,0.697
05/01/2024 20:00,202,14259107,14259.107,0.719
05/01/2024 20:30,202,14259801,14259.801,0.694
05/01/2024 21:00,202,14260214,14260.214,0.413
05/01/2024 21:30,202,14261616,14261.616,1.402
05/01/2024 22:00,202,14262602,14262.602,0.986
05/01/2024 22:30,202,14263168,14263.168,0.566
05/01/2024 23:00,202,14263549,14263.549,0.381
05/01/2024 23:30,202,14263718,14263.718,0.169
06/01/2024 00:00,202,14263856,14263.856,0.138
06/01/2024 00:30,202,14263991,14263.991,0.135
06/01/2024 01:00,202,14264122,14264.122,0.131
06/01/2024 01:30,202,14264250,14264.25,0.128
06/01/2024 02:00,202,14264365,14264.365,0.115
06/01/2024 02:30,202,14264490,14264.49,0.125
06/01/2024 03:00,202,14264612,14264.612,0.122
06/01/2024 03:30,202,14264720,14264.72,0.108
06/01/2024 04:00,202,14264818,14264.818,0.098
06/01/2024 04:30,202,14264927,14264.927,0.109
06/01/2024 05:00,202,14265028,14265.028,0.101
06/01/2024 05:30,202,14265127,14265.127,0.099
06/01/2024 06:00,202,14265216,14265.216,0.089
