Name,Supplier,Fuel,Account,Bill Date,Due Date,Consumer,NMI,Site Address,From Date,To Date,Charge Group,Charge Description,Unit Of Measure,Charge Rate,DLF,TLF,Uplifted Rate,Quantity,Net Charge ($),GST ($),Total Charge ($),Information Only
St John of God Health Care - Geraldton,ALINTA ENERGY,,80018017,2/4/2025,2/5/2025,,,,,,Elect Adj Credit - Retail,Adjustment STC Binding CY25 STP 13.89% - Jan 25 & Feb 25,,,,,,,-910.46,0,-910.46,N
St John of God Health Care - Geraldton,ALINTA ENERGY,,80018017,2/4/2025,2/5/2025,,,,,,Elect Adj Credit - Retail,Adjustment LGC Binding CY25 RPP 17.91% - Jan 25 & Feb 25,,,,,,,-112.36,0,-112.36,N
St John of God Health Care - Geraldton,ALINTA ENERGY,,80018017,2/4/2025,2/5/2025,,,,,,Cash Payment,Payment received 532835 14/03/2025,,,,,,,"-36,165.33",0,"-36,165.33",N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Environmental,STC Charge,KWH,0.005556,1.0394,1.0196,0.005888,150222,884.52,88.45,972.97,N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Environmental,LGC Charge,KWH,0.008239,1.0394,1.0196,0.008732,150222,"1,311.66",131.17,"1,442.83",N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Market,Ancillary Charge,KWH,0.01238,1.0394,1.0196,0.01312,150222,"1,970.91",197.09,"2,168.00",N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Market,Market Fee,KWH,0.002938,1.0394,1.0196,0.003114,150222,467.73,46.77,514.5,N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Energy,Off Peak Energy,KWH,0.0876,1.0394,1.0196,0.092836,72731,"6,752.12",675.21,"7,427.33",N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Energy,Peak Energy,KWH,0.0935,1.0394,1.0196,0.099089,77490,"7,678.41",767.84,"8,446.25",N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Network Other,Metering Service Charge M13,DAYS,0.17633,,,0.17633,31,5.47,0.55,6.02,N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Network Transmission,Fixed Demand Charge (300 to 1000),DAYS,119.37117,,,119.37117,31,"3,700.51",370.05,"4,070.56",N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Network Transmission,Fixed Demand Charge (1000 to 1500),DAYS,331.05924,,,331.05924,0,0,0,0,N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Network Transmission,Variable Demand Charge (0 to 300),KVA,0.3979,,,0.3979,0,0,0,0,N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Network Transmission,Variable Demand Charge (300 to 1000),KVA,0.30242,,,0.30242,5928,"1,792.75",179.28,"1,972.03",N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Network Transmission,Variable Demand Charge (1000 to 1500),KVA,0.16554,,,0.16554,0,0,0,0,N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Network Distribution,Fixed Demand Charge (0 to 300),DAYS,11.93783,,,11.93783,0,0,0,0,N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Network Distribution,Fixed Demand Charge (300 to 1000),DAYS,190.22283,,,190.22283,31,"5,896.91",589.69,"6,486.60",N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Network Distribution,Fixed Demand Charge (1000 to 1500),DAYS,535.09076,,,535.09076,0,0,0,0,N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Network Distribution,Variable Demand Charge (0 to 300),KVA,0.63408,,,0.63408,0,0,0,0,N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Network Distribution,Variable Demand Charge (300 to 1000),KVA,0.49266,,,0.49266,5928,"2,920.49",292.05,"3,212.54",N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Network Distribution,Variable Demand Charge (1000 to 1500),KVA,0.24919,,,0.24919,0,0,0,0,N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Network Distribution,Demand Length Charge <10km,KVA,0.00913,,,0.00913,0,0,0,0,N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Network Distribution,Demand Length Charge >= 10km,KVA,0.00631,,,0.00631,0,0,0,0,N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Network Other,Metering Fixed Charge,DAYS,0.17195,,,0.17195,31,5.33,0.53,5.86,N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Other,Retail Service Charge,DAYS,1.99,,,1.99,31,61.69,6.17,67.86,N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Market,Capacity Charge,,,,,,,"5,201.53",520.15,"5,721.68",N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Network Distribution,Discount,,,,,,,"-2,139.92",-213.99,"-2,353.91",N
St John of God Health Care - Geraldton,ALINTA ENERGY,ELEC,80018017,2/4/2025,2/5/2025,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/3/2025,31/03/2025,Network Transmission,Discount,,,,,,,"-1,333.17",-133.32,"-1,466.49",N
St John of God Health Care - Midland,ALINTA ENERGY,,80018018,4/4/2025,5/5/2025,,,,,,Cash Payment,Payment received 532838 14/03/2025,,,,,,,-135.72,0,-135.72,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Environmental,STC Charge,KWH,0.005556,1.0173,1.0196,0.005763,0,0,0,0,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Environmental,LGC Charge,KWH,0.008239,1.0173,1.0196,0.008546,0,0,0,0,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Market,Ancillary Charge,KWH,0.01238,1.0173,1.0196,0.012841,0,0,0,0,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Market,Market Fee,KWH,0.002938,1.0173,1.0196,0.003047,0,0,0,0,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Energy,Off Peak Energy,KWH,0.0876,1.0173,1.0196,0.090862,0,0,0,0,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Energy,Peak Energy,KWH,0.0935,1.0173,1.0196,0.096982,0,0,0,0,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Other,Metering Service Charge M13,DAYS,0.17633,,,0.17633,31,5.47,0.55,6.02,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Transmission,Fixed Demand Charge (300 to 1000),DAYS,114.51089,,,114.51089,0,0,0,0,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Transmission,Fixed Demand Charge (1000 to 1500),DAYS,307.70966,,,307.70966,0,0,0,0,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Transmission,Variable Demand Charge (0 to 300),KVA,0.38171,,,0.38171,0,0,0,0,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Transmission,Variable Demand Charge (300 to 1000),KVA,0.276,,,0.276,0,0,0,0,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Transmission,Variable Demand Charge (1000 to 1500),KVA,0.15315,,,0.15315,0,0,0,0,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Distribution,Fixed Demand Charge (0 to 300),DAYS,2.06868,,,2.06868,31,64.13,6.41,70.54,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Distribution,Fixed Demand Charge (300 to 1000),DAYS,182.66011,,,182.66011,0,0,0,0,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Distribution,Fixed Demand Charge (1000 to 1500),DAYS,493.17434,,,493.17434,0,0,0,0,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Distribution,Variable Demand Charge (0 to 300),KVA,0.60886,,,0.60886,0,0,0,0,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Distribution,Variable Demand Charge (300 to 1000),KVA,0.44359,,,0.44359,0,0,0,0,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Distribution,Variable Demand Charge (1000 to 1500),KVA,0.19167,,,0.19167,0,0,0,0,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Distribution,Demand Length Charge <10km,KVA,0.01956,,,0.01956,0,0,0,0,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Distribution,Demand Length Charge >= 10km,KVA,0.01382,,,0.01382,0,0,0,0,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Network Other,Metering Fixed Charge,DAYS,0.17195,,,0.17195,31,5.33,0.53,5.86,N
St John of God Health Care - Midland,ALINTA ENERGY,ELEC,80018018,4/4/2025,5/5/2025,89010261,80022128860,"Unit 1/1 CLAYTON ST, MIDLAND WA",1/3/2025,31/03/2025,Other,Retail Service Charge,DAYS,1.99,,,1.99,31,61.69,6.17,67.86,N
